  1200: >>> E[0:00:01]-R[0:00:01]: Return=    0.6926, Steps=8.38, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.01076, Steps=0.81, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.7359, Steps=7.18, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.02026, Steps= 0.3, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.01075, Steps= 0.8, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.01075, Steps= 0.8, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.01075, Steps= 0.8, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.01075, Steps= 0.8, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.01075, Steps= 0.8, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.7359, Steps=7.18, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=     25.02, Steps=98.92, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.01076, Steps=0.81, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=    0.0192, Steps=0.82, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=    0.0192, Steps=0.82, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=    0.0097, Steps=0.31, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=    0.0097, Steps=0.31, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=    0.1138, Steps=6.31, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=     2.811, Steps=11.74, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=     5.777, Steps=18.52, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=     1.016, Steps=5.23, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=  -0.00232, Steps=2.32, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=  -0.00229, Steps=2.29, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=  -0.00187, Steps=1.87, Features = 20
  1400: >>> E[0:00:01]-R[0:00:00]: Return=     10.08, Steps=27.79, Features = 20
  1600: >>> E[0:00:01]-R[0:00:00]: Return=      23.1, Steps=61.54, Features = 20
  1800: >>> E[0:00:01]-R[0:00:00]: Return=     6.678, Steps=18.25, Features = 20
  2000: >>> E[0:00:01]-R[0:00:00]: Return=      19.5, Steps=50.84, Features = 20
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=    0.1138, Steps=6.31, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=     2.811, Steps=11.74, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=     5.777, Steps=18.52, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=     1.016, Steps=5.23, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=  -0.00232, Steps=2.32, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=  -0.00229, Steps=2.29, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=  -0.00187, Steps=1.87, Features = 20
  1400: >>> E[0:00:01]-R[0:00:00]: Return=     10.08, Steps=27.79, Features = 20
  1600: >>> E[0:00:01]-R[0:00:00]: Return=      23.1, Steps=61.54, Features = 20
  1800: >>> E[0:00:01]-R[0:00:00]: Return=     6.678, Steps=18.25, Features = 20
  2000: >>> E[0:00:01]-R[0:00:00]: Return=      19.5, Steps=50.84, Features = 20
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=    -1.005, Steps=6.31, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=     -1.01, Steps=100.81, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=    -1.005, Steps=6.31, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=    -1.005, Steps=6.31, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=    -1.005, Steps=6.31, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=  -0.02027, Steps=0.31, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.8645, Steps=5.53, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=    0.4604, Steps=20.58, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=    0.5305, Steps=10.51, Features = 20
